trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11638020,64,1,INBOUND-LAWRENCEVILLE VIA SQ HILL-SHADYSIDE-BLOOMFIELD,,1,192445202,shp-64-01,1,1
1055080,1,3,OUTBOUND-TARENTUM,,0,193285108,shp-1-63,1,1
6002010,21,4,OUTBOUND-UNIVERSITY BLVD PARK-AND-RIDE,,0,192746601,shp-21-58,1,1
5452070,57,2,INBOUND-DOWNTOWN,,1,192471507,shp-57-01,1,1
1524020,71C,1,OUTBOUND-WILKINSBURG STATION,,0,192645502,shp-71C-93,1,1
6186080,28X,3,OUTBOUND-PITTSBURGH INTERNATIONAL AIRPORT,,0,192921808,shp-28X-51,1,1
5394070,61B,2,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,192458407,shp-61B-51,1,1
13765080,20,3,OUTBOUND-KENNEDY CENTER VIA HERBST ROAD,,0,192886908,shp-20-51,1,1
11313070,28X,2,INBOUND-DOWNTOWN,,1,192664307,shp-28X-01,1,1
13741020,P3,1,OUTBOUND-SWISSVALE,,0,192612602,shp-P3-51,1,1
11930010,56,4,OUTBOUND-PENN STATE MCKEESPORT,,0,192495701,shp-56-01,1,1
12623070,57,2,OUTBOUND-WATERFRONT,,0,192471107,shp-57-51,1,1
5494080,41,3,OUTBOUND-BRIDGEVILLE,,0,192888508,shp-41-51,1,1
7853080,20,3,OUTBOUND-KENNEDY CENTER VIA HERBST ROAD,,0,192882908,shp-20-51,1,1
9134080,15,3,INBOUND-DOWNTOWN,,1,193287608,shp-15-01,1,1
2240070,58,2,INBOUND-DOWNTOWN,,1,192666907,shp-58-01,1,1
13681020,82,1,INBOUND-DOWNTOWN,,1,192653002,shp-82-11,1,1
8020010,14,4,OUTBOUND-AMBRIDGE,,0,193268301,shp-14-01,1,1
2083020,Y46,1,INBOUND-DOWNTOWN,,1,192444502,shp-Y46-11,1,1
1953020,61B,1,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,192448202,shp-61B-51,1,1
11612070,56,2,INBOUND-DOWNTOWN,,1,192465407,shp-56-13,1,1
4721080,61C,3,OUTBOUND-HOMESTEAD VIA OAKLAND,,0,192787308,shp-61C-51,1,1
6527020,75,1,OUTBOUND-WATERWORKS,,0,192650202,shp-75-25,1,1
13269080,51,3,INBOUND-DOWNTOWN,,1,192775208,shp-51-25,1,1
